PART	PART	CONJ	887
DET	SYM	NUM	564
NUM	ADJ	PRON	1408
NOUN	PROPN	INTJ	65
ADP	DET	PART	5946
PROPN	NUM	SYM	316
ADJ	ADP	X	346
ADV	NOUN	X	324
ADJ	SYM	ADJ	161
X	NOUN	PUNCT	2129
SCONJ	CONJ	SYM	30
NUM	X	ADP	66
ADP	SYM	NOUN	1090
PART	DET	PART	1788
DET	VERB	VERB	34436
PRON	PART	PRON	11361
INTJ	X	PUNCT	26
SYM	PRON	PROPN	72
SYM	SYM	NUM	317
AUX	CONJ	ADP	4125
SCONJ	ADJ	VERB	5100
NOUN	PART	258139
SYM	NUM	PROPN	456
SYM	VERB	SCONJ	66
SYM	ADJ	VERB	288
NOUN	PROPN	501256
SYM	PROPN	ADP	226
NUM	ADP	CONJ	1488
VERB	PRON	PRON	36413
ADJ	NOUN	DET	27546
ADJ	NUM	ADJ	1143
PUNCT	PROPN	PRON	6606
ADV	AUX	107094
ADJ	AUX	PART	2116
CONJ	ADP	ADJ	5713
SCONJ	INTJ	X	2
ADJ	PART	VERB	7944
PART	PART	NUM	211
PUNCT	SCONJ	PUNCT	6395
INTJ	ADV	SYM	13
PUNCT	INTJ	ADP	252
PRON	NUM	NUM	1480
ADP	SCONJ	VERB	7432
AUX	SYM	AUX	51
ADV	AUX	PRON	4912
INTJ	PUNCT	14239
VERB	NUM	NOUN	10910
PRON	ADJ	PRON	13746
AUX	PRON	INTJ	199
NUM	ADP	PART	1012
DET	INTJ	INTJ	20
CONJ	AUX	ADJ	2198
ADP	INTJ	NOUN	360
ADP	ADP	AUX	6188
PROPN	X	PROPN	132
CONJ	NOUN	DET	11545
PUNCT	PRON	SCONJ	3115
DET	ADP	SCONJ	3639
CONJ	CONJ	VERB	5253
SYM	DET	NOUN	936
DET	ADJ	X	319
VERB	PART	DET	11049
DET	AUX	ADJ	5312
NUM	SYM	ADJ	255
SCONJ	PRON	PART	3086
DET	ADJ	376113
PART	DET	NUM	772
ADP	SYM	PRON	221
PUNCT	PART	CONJ	2046
ADJ	ADV	SYM	161
PART	ADV	DET	3211
ADJ	PUNCT	PRON	9881
PUNCT	CONJ	DET	7857
NOUN	PUNCT	1296765
CONJ	VERB	AUX	4619
CONJ	DET	ADP	7472
ADV	PRON	ADJ	7872
INTJ	ADJ	6117
ADV	SCONJ	PUNCT	4978
ADV	PROPN	VERB	7198
X	AUX	ADJ	123
ADP	DET	PUNCT	41774
ADP	PART	ADP	6186
CONJ	PRON	208774
AUX	X	NUM	21
NUM	PART	NOUN	1714
SYM	ADV	4568
X	ADJ	PROPN	214
ADJ	ADP	ADP	16022
PUNCT	X	PRON	344
PUNCT	ADV	VERB	14795
NUM	PRON	SYM	127
DET	PROPN	PRON	8029
DET	PUNCT	ADJ	13665
ADP	ADJ	CONJ	6976
INTJ	X	SYM	3
INTJ	NUM	1505
ADP	X	NUM	41
SCONJ	AUX	PART	1599
CONJ	PROPN	NOUN	7428
VERB	NOUN	SYM	1405
X	X	PRON	138
ADJ	DET	SYM	256
PUNCT	NOUN	CONJ	15260
PUNCT	NUM	X	369
PART	SYM	AUX	28
ADP	NUM	PRON	2268
VERB	SYM	ADV	361
ADP	SCONJ	AUX	2440
PROPN	ADV	ADP	8473
SYM	ADP	SCONJ	48
DET	PRON	ADV	10295
VERB	AUX	DET	9536
VERB	INTJ	PUNCT	774
VERB	ADJ	X	475
INTJ	ADV	SCONJ	101
PRON	ADJ	ADP	15104
SCONJ	ADV	PROPN	1494
ADP	NUM	DET	3086
SYM	PUNCT	PUNCT	782
PRON	CONJ	AUX	5002
ADV	AUX	X	63
ADJ	ADP	ADV	6765
VERB	ADP	X	613
NUM	ADP	SYM	261
SCONJ	NOUN	NUM	1174
DET	ADJ	VERB	21027
ADP	NUM	VERB	3986
INTJ	SCONJ	ADJ	123
INTJ	SCONJ	DET	155
AUX	DET	DET	7071
CONJ	NUM	PUNCT	1806
SYM	ADP	ADP	448
ADV	INTJ	ADV	188
PROPN	PRON	ADV	6175
DET	SCONJ	CONJ	1633
PROPN	DET	DET	11555
DET	VERB	DET	28689
NUM	X	SYM	9
SYM	VERB	AUX	109
PROPN	ADV	INTJ	23
ADV	ADP	PUNCT	22501
AUX	AUX	NOUN	6493
PUNCT	SCONJ	PRON	4826
PROPN	PRON	INTJ	51
ADP	INTJ	SYM	7
PUNCT	NUM	ADP	3061
DET	NUM	NUM	1274
ADV	X	SYM	14
AUX	CONJ	SYM	62
CONJ	ADJ	PART	1691
SCONJ	VERB	VERB	13519
CONJ	PART	X	37
X	SCONJ	1396
ADJ	AUX	PRON	3859
DET	AUX	168949
DET	NUM	PUNCT	5754
SCONJ	PRON	ADV	4830
INTJ	PUNCT	PART	273
PRON	NOUN	ADJ	23720
CONJ	VERB	DET	12234
NUM	SCONJ	DET	565
ADJ	DET	VERB	13874
PRON	X	INTJ	2
DET	DET	CONJ	7442
PRON	AUX	SYM	337
INTJ	X	AUX	2
NOUN	ADP	PART	10602
ADP	X	PART	65
ADP	CONJ	X	149
DET	ADJ	SYM	372
ADV	SYM	DET	199
INTJ	ADP	PRON	610
INTJ	AUX	ADV	208
ADJ	NUM	NOUN	3773
CONJ	ADP	PROPN	5917
CONJ	PUNCT	ADV	3682
SCONJ	PRON	VERB	13751
PRON	CONJ	NUM	1151
X	X	DET	146
INTJ	PROPN	ADV	104
VERB	PROPN	ADV	8321
PUNCT	ADV	DET	9048
PUNCT	DET	PART	4299
PROPN	ADP	PART	3709
INTJ	ADV	NUM	41
CONJ	ADJ	SYM	116
SYM	ADV	SYM	52
PROPN	INTJ	PUNCT	177
X	ADP	NUM	75
X	DET	ADJ	359
INTJ	INTJ	SCONJ	9
ADJ	NOUN	SCONJ	5465
PRON	AUX	NUM	1587
PROPN	PUNCT	NOUN	34810
PART	ADJ	PROPN	2216
PROPN	PRON	ADJ	6545
PRON	DET	SCONJ	4163
NUM	PROPN	PUNCT	6265
PRON	DET	NOUN	52133
AUX	PRON	CONJ	3426
PROPN	X	NOUN	783
ADV	PART	PART	1342
PART	VERB	VERB	16408
INTJ	PROPN	DET	211
CONJ	VERB	INTJ	204
ADP	DET	SYM	515
NUM	ADJ	PUNCT	4021
ADV	ADJ	X	149
VERB	SCONJ	SYM	141
CONJ	PRON	CONJ	3775
PUNCT	ADV	SCONJ	2214
PRON	SYM	NUM	567
DET	NUM	ADJ	1942
ADP	ADJ	INTJ	155
PUNCT	X	X	1455
ADV	SCONJ	PART	1318
ADV	PROPN	NOUN	9344
X	INTJ	26
NOUN	NOUN	NOUN	160087
PROPN	DET	SYM	216
NUM	SYM	PUNCT	719
NUM	PUNCT	X	595
SCONJ	VERB	PRON	10600
PUNCT	PRON	X	265
ADP	PUNCT	688941
PRON	CONJ	ADV	7707
PART	INTJ	PRON	120
PROPN	SYM	NUM	502
AUX	DET	ADJ	7031
DET	PUNCT	PUNCT	35176
NOUN	ADP	PROPN	37870
PRON	DET	SYM	500
ADV	PART	VERB	8311
SYM	SYM	X	24
SCONJ	X	1709
PRON	PART	PROPN	3504
SCONJ	VERB	CONJ	4232
DET	SCONJ	ADV	2672
SYM	NOUN	PROPN	450
INTJ	ADV	7501
SYM	VERB	PUNCT	775
PUNCT	PUNCT	PART	4915
X	PRON	INTJ	1
NOUN	INTJ	CONJ	184
SYM	DET	PROPN	207
NUM	INTJ	ADJ	30
X	ADJ	ADP	281
DET	SCONJ	NOUN	8579
DET	X	NUM	21
NOUN	ADP	PRON	31855
SYM	ADV	PUNCT	278
PUNCT	INTJ	INTJ	37
CONJ	SYM	NOUN	239
PART	ADP	SCONJ	1184
NUM	PUNCT	AUX	1060
SCONJ	PROPN	NOUN	5596
ADV	SYM	CONJ	107
ADP	NUM	INTJ	26
NOUN	PROPN	PRON	11347
CONJ	PART	PROPN	1070
NOUN	VERB	VERB	62869
NUM	ADV	AUX	505
PUNCT	CONJ	NOUN	17433
ADV	SYM	PUNCT	504
PART	ADV	VERB	5883
VERB	INTJ	PRON	725
VERB	AUX	SYM	226
AUX	ADJ	PART	1843
AUX	PROPN	ADP	5325
ADP	PRON	NUM	2127
NOUN	NUM	AUX	1468
PUNCT	NUM	PART	532
SCONJ	PUNCT	ADV	2742
PART	CONJ	VERB	4784
AUX	PROPN	PART	1235
DET	DET	PROPN	13363
PUNCT	DET	X	260
PRON	SYM	SCONJ	48
DET	PUNCT	VERB	26090
PART	NUM	PUNCT	1565
PRON	PUNCT	SYM	405
X	PROPN	SYM	3
SYM	INTJ	ADP	4
PRON	INTJ	SCONJ	79
SYM	ADP	PART	130
ADJ	AUX	VERB	9767
INTJ	X	NUM	2
ADP	DET	PRON	16426
ADV	PUNCT	ADV	7206
NUM	INTJ	ADP	31
PART	NOUN	NUM	1463
ADJ	PUNCT	ADJ	11561
ADV	PART	AUX	1497
VERB	VERB	ADJ	29946
SCONJ	ADP	INTJ	106
PRON	PUNCT	NUM	2145
AUX	NOUN	CONJ	7811
ADJ	PUNCT	CONJ	7308
NOUN	PRON	VERB	53927
PUNCT	PRON	CONJ	5721
CONJ	INTJ	PRON	229
CONJ	NUM	ADJ	591
PART	PROPN	X	79
AUX	PRON	ADV	5598
DET	PUNCT	AUX	7094
PART	ADP	AUX	2201
ADJ	CONJ	NUM	718
