ADV	NUM	CONJ	6547
PRON	DET	VERB	16618
NOUN	PROPN	ADJ	174195
PRON	SYM	PART	14
ADJ	NUM	ADP	34897
PUNCT	X	PRON	2
ADV	PART	88037
PUNCT	INTJ	PUNCT	628
X	VERB	VERB	1
ADP	DET	SYM	179
CONJ	ADP	INTJ	46
AUX	DET	PUNCT	8518
SCONJ	DET	NUM	1003
NUM	PUNCT	NOUN	133583
PROPN	ADV	PRON	10847
NOUN	CONJ	ADP	141303
PUNCT	PROPN	NUM	56707
CONJ	CONJ	ADJ	27358
NUM	DET	DET	483
VERB	PUNCT	AUX	27830
ADJ	SCONJ	SYM	206
PUNCT	ADV	NUM	15247
NUM	NOUN	PRON	23505
INTJ	SCONJ	356
SCONJ	NOUN	ADV	42540
PUNCT	PART	ADP	8670
NOUN	DET	VERB	53995
NOUN	NUM	2029430
DET	NUM	ADP	3760
SCONJ	PUNCT	CONJ	16764
AUX	PUNCT	SYM	180
ADP	PART	DET	1087
SCONJ	VERB	ADV	25108
ADV	PUNCT	SCONJ	23878
DET	PRON	NUM	1886
CONJ	ADV	PART	1878
PROPN	INTJ	PUNCT	49
VERB	ADJ	ADJ	224546
ADJ	ADV	AUX	7018
AUX	PRON	PART	762
ADJ	CONJ	VERB	68230
VERB	PART	ADP	10327
SYM	PROPN	PART	13
DET	PUNCT	AUX	4284
DET	NOUN	ADP	67586
SCONJ	NUM	ADV	2681
INTJ	PART	PROPN	5
PUNCT	NUM	PUNCT	255909
PUNCT	SYM	SCONJ	169
PART	ADV	92512
CONJ	SCONJ	ADP	10423
ADP	PROPN	CONJ	33446
PROPN	NOUN	VERB	107247
CONJ	DET	PART	539
ADV	SYM	ADV	161
INTJ	PROPN	NUM	3
NOUN	NUM	CONJ	34462
PUNCT	AUX	DET	5390
ADV	ADV	AUX	4613
PROPN	NUM	ADP	19518
ADJ	PROPN	ADV	30310
PUNCT	CONJ	1577477
PROPN	ADV	ADV	14734
PRON	X	ADJ	2
DET	PRON	VERB	19585
NOUN	SCONJ	SYM	384
ADV	NUM	INTJ	19
ADP	NUM	INTJ	44
NUM	CONJ	AUX	1073
CONJ	NOUN	SYM	1034
NOUN	VERB	NUM	79103
CONJ	PROPN	AUX	1732
PUNCT	AUX	VERB	36688
ADJ	SCONJ	ADP	26224
SCONJ	NOUN	NUM	16275
PART	INTJ	DET	3
VERB	ADJ	VERB	138027
PRON	PROPN	PROPN	26654
VERB	ADP	NOUN	439842
PRON	ADJ	1534353
PUNCT	PART	SYM	248
PRON	PUNCT	PUNCT	171169
INTJ	INTJ	ADJ	1
PROPN	SYM	AUX	15
NOUN	CONJ	SYM	1681
PUNCT	PART	VERB	8500
VERB	PROPN	INTJ	24
DET	PROPN	VERB	6965
PART	PUNCT	DET	2114
SYM	SCONJ	NOUN	200
ADV	PART	SYM	112
VERB	PUNCT	CONJ	92883
INTJ	AUX	ADV	4
PART	DET	ADP	1290
ADV	CONJ	CONJ	13409
ADP	NUM	SYM	3159
PROPN	PROPN	AUX	6387
CONJ	CONJ	CONJ	8529
PRON	ADJ	PROPN	31718
SYM	CONJ	NUM	389
ADJ	SCONJ	ADV	15717
PART	AUX	ADJ	1051
ADP	AUX	ADJ	18656
PROPN	SCONJ	PRON	6857
DET	CONJ	ADJ	15539
VERB	DET	PROPN	8472
ADJ	ADJ	PROPN	112178
