PUNCT	AUX	PUNCT	9087
PROPN	VERB	NUM	5257
ADP	DET	X	803
VERB	ADJ	PRON	4990
PRON	PART	DET	1393
NUM	PROPN	X	144
X	NOUN	ADJ	270
SCONJ	PART	6484
DET	DET	NOUN	115371
ADV	ADP	SCONJ	813
CONJ	NUM	NOUN	3416
PRON	SCONJ	23752
X	AUX	PUNCT	70
PUNCT	PUNCT	CONJ	20651
VERB	ADP	PROPN	36561
CONJ	NUM	ADJ	1069
AUX	VERB	DET	4013
NOUN	PUNCT	AUX	12631
CONJ	X	NOUN	138
PRON	X	VERB	134
ADP	ADV	ADP	13862
SCONJ	ADJ	DET	2018
PART	PROPN	ADV	316
ADP	PUNCT	PART	3848
NUM	NOUN	ADP	17417
PUNCT	PUNCT	PART	4133
VERB	PROPN	VERB	13048
SCONJ	NOUN	AUX	2396
PART	ADV	ADJ	766
NOUN	ADP	PART	6270
PUNCT	PRON	PUNCT	23616
PRON	PRON	AUX	2597
ADP	SCONJ	DET	2745
NOUN	NOUN	DET	91487
PUNCT	ADP	ADJ	23205
AUX	PRON	PUNCT	5431
ADJ	X	X	126
X	NOUN	ADP	404
AUX	PUNCT	NOUN	10146
NOUN	PROPN	PRON	14430
PART	VERB	NUM	129
VERB	PART	PART	403
AUX	ADV	VERB	4598
DET	DET	ADV	16262
ADV	NOUN	PRON	8337
PUNCT	CONJ	X	186
ADV	DET	ADJ	16167
NOUN	X	ADV	230
X	ADJ	4209
AUX	NOUN	X	183
SCONJ	NUM	SCONJ	16
NUM	PUNCT	CONJ	4166
ADP	PRON	VERB	14447
NOUN	SCONJ	NUM	556
ADV	NOUN	PART	3227
VERB	PRON	PRON	5975
VERB	ADP	SCONJ	1218
PART	CONJ	DET	704
PROPN	CONJ	ADV	4865
ADP	PROPN	VERB	35892
AUX	X	X	21
SCONJ	ADP	PROPN	2555
VERB	CONJ	NUM	1782
NUM	AUX	VERB	1117
PART	ADP	ADJ	1036
PRON	ADV	CONJ	3154
NUM	VERB	104618
PUNCT	ADP	PRON	9108
X	PROPN	X	141
DET	PROPN	DET	62003
X	PROPN	PUNCT	1350
AUX	ADP	CONJ	2648
PART	ADJ	CONJ	438
SCONJ	ADJ	ADJ	1889
VERB	PUNCT	PROPN	36590
DET	ADP	ADP	46104
NOUN	PUNCT	CONJ	30213
PUNCT	CONJ	CONJ	3820
DET	PRON	NUM	3140
NUM	ADJ	VERB	3822
PART	NUM	ADJ	79
AUX	VERB	VERB	3125
ADV	NOUN	457532
ADJ	NOUN	X	711
ADV	PRON	ADV	4735
SCONJ	AUX	PUNCT	1737
PROPN	AUX	PUNCT	10291
X	SCONJ	AUX	12
SCONJ	VERB	VERB	1920
AUX	PUNCT	PRON	2807
PUNCT	ADP	NUM	7620
VERB	NOUN	DET	40820
VERB	PART	ADP	1359
ADJ	ADV	PRON	2809
SCONJ	PART	X	2
X	VERB	SCONJ	26
CONJ	VERB	ADJ	3532
ADJ	X	SCONJ	31
SCONJ	ADJ	ADV	993
PROPN	NUM	VERB	6564
PUNCT	AUX	NUM	683
PART	VERB	SCONJ	197
VERB	PROPN	PROPN	61250
AUX	AUX	SCONJ	93
SCONJ	PROPN	CONJ	581
VERB	PROPN	410123
ADJ	NUM	SCONJ	119
NOUN	ADJ	NOUN	79078
X	PART	PUNCT	22
PUNCT	CONJ	ADJ	9230
CONJ	X	ADV	36
X	VERB	AUX	60
PROPN	PROPN	CONJ	37267
CONJ	PUNCT	300111
CONJ	ADP	ADJ	6436
PUNCT	ADV	AUX	3019
NUM	PART	ADP	254
ADP	ADP	ADJ	28006
X	X	ADJ	76
SCONJ	X	885
SCONJ	PUNCT	ADV	1346
ADJ	X	AUX	52
PART	NOUN	DET	1871
DET	SCONJ	ADV	1289
CONJ	PRON	ADV	1927
DET	PART	ADP	2119
PROPN	SCONJ	PRON	1480
AUX	DET	126422
X	PART	DET	9
PROPN	PUNCT	SCONJ	3079
CONJ	ADV	ADV	1918
AUX	PRON	PART	576
X	PART	458
AUX	ADJ	ADP	3760
VERB	ADJ	X	202
ADJ	VERB	PART	1592
NUM	PART	6887
CONJ	ADJ	VERB	4975
PUNCT	PROPN	AUX	7006
NOUN	PART	ADJ	2524
NOUN	PROPN	ADP	56988
X	PRON	PUNCT	203
ADV	DET	ADV	6843
ADV	VERB	PRON	5582
X	CONJ	CONJ	20
ADJ	PUNCT	CONJ	11436
ADJ	X	5871
NOUN	ADJ	X	460
PUNCT	PROPN	DET	36331
NUM	VERB	PRON	2256
SCONJ	AUX	PRON	470
X	ADV	CONJ	21
PRON	PART	PRON	752
AUX	X	1494
DET	PRON	ADV	8301
SCONJ	NOUN	NUM	670
ADP	PROPN	ADP	51054
NOUN	PART	98995
VERB	SCONJ	ADV	1375
NUM	ADV	PUNCT	5161
CONJ	VERB	ADP	4849
PROPN	PROPN	NUM	21701
AUX	X	CONJ	20
PRON	PUNCT	CONJ	6943
CONJ	PART	PUNCT	1456
SCONJ	DET	AUX	1587
CONJ	ADJ	DET	4863
SCONJ	X	ADV	16
PRON	NUM	ADV	1154
ADP	ADP	PROPN	52634
PROPN	DET	VERB	28422
PRON	ADP	DET	26731
AUX	CONJ	VERB	2410
PART	PROPN	NOUN	973
PRON	DET	SCONJ	972
PRON	DET	ADP	19581
PART	VERB	PROPN	909
PART	AUX	PRON	178
ADJ	PART	ADJ	1105
PUNCT	PUNCT	PROPN	90869
AUX	PUNCT	ADV	2668
PUNCT	ADV	CONJ	3757
ADV	AUX	ADJ	1803
ADP	AUX	NUM	1119
AUX	PART	PRON	216
X	SCONJ	PRON	29
PUNCT	NUM	ADP	6506
ADP	PART	VERB	3766
SCONJ	NUM	PART	33
ADV	VERB	PUNCT	22777
ADV	PART	NOUN	1620
PART	PRON	ADP	635
ADP	DET	ADV	18160
PROPN	PROPN	PUNCT	242225
NUM	CONJ	NOUN	5427
ADV	AUX	AUX	773
PRON	PRON	PART	1341
AUX	X	PART	9
PUNCT	AUX	109234
ADV	AUX	ADV	1698
AUX	DET	CONJ	2532
PRON	CONJ	X	73
AUX	PART	NUM	35
PRON	ADJ	PRON	3878
NUM	PART	ADV	157
PART	PROPN	NUM	191
PART	SCONJ	4199
ADV	DET	X	262
CONJ	ADV	PROPN	2362
SCONJ	NUM	ADJ	253
AUX	X	PUNCT	198
NUM	ADP	PUNCT	19404
AUX	PROPN	ADV	1543
CONJ	ADJ	SCONJ	247
SCONJ	NUM	AUX	173
X	PART	ADJ	13
PRON	CONJ	ADP	5461
NOUN	NOUN	NOUN	157897
ADV	NOUN	ADJ	18177
VERB	AUX	PRON	1720
SCONJ	SCONJ	ADP	205
ADP	CONJ	NOUN	26336
NUM	PRON	X	51
VERB	PRON	CONJ	4344
PUNCT	NUM	PROPN	9186
NUM	VERB	PART	357
ADJ	NOUN	ADV	17041
ADV	X	PRON	73
ADJ	PUNCT	PRON	10298
ADJ	PRON	NOUN	14967
ADV	ADV	PUNCT	14913
CONJ	PART	ADV	307
NUM	ADJ	PART	344
PART	PUNCT	ADV	995
ADV	NUM	X	121
ADP	NUM	NUM	6370
NUM	PRON	DET	3650
AUX	VERB	PROPN	2679
X	X	AUX	18
PUNCT	NUM	DET	6091
ADV	DET	PUNCT	32684
AUX	NOUN	NUM	1983
DET	SCONJ	PRON	1824
ADV	PROPN	NUM	2694
ADJ	PUNCT	PUNCT	57473
VERB	ADV	ADV	6566
CONJ	NUM	X	65
NOUN	PART	ADP	2885
DET	VERB	PRON	11824
ADP	ADP	PART	3527
NUM	DET	NOUN	20245
PUNCT	PRON	VERB	14825
AUX	PUNCT	ADP	5610
VERB	DET	ADP	30399
CONJ	PRON	69529
PROPN	PROPN	PRON	19942
X	ADV	VERB	91
PART	PUNCT	PROPN	1455
NUM	PROPN	ADV	3246
SCONJ	VERB	AUX	1454
ADV	NUM	CONJ	1059
NOUN	X	NOUN	1221
ADV	X	PROPN	197
NUM	X	PART	18
NOUN	PRON	ADJ	16157
ADV	AUX	PART	399
SCONJ	ADP	DET	4235
ADP	ADV	DET	13623
PUNCT	PUNCT	SCONJ	2334
VERB	DET	AUX	5049
X	AUX	1080
AUX	NOUN	ADJ	6432
DET	NUM	AUX	1789
ADV	NUM	ADV	1303
ADP	NUM	PUNCT	23735
CONJ	X	X	29
PUNCT	PART	X	12
PUNCT	PART	PUNCT	4737
PUNCT	SCONJ	DET	4077
NOUN	CONJ	PART	2286
NOUN	X	CONJ	205
PROPN	ADP	824402
AUX	ADP	NUM	2075
PART	SCONJ	NOUN	365
PROPN	PUNCT	CONJ	26676
NOUN	VERB	AUX	12961
AUX	ADJ	ADV	1518
PART	VERB	ADP	1321
ADJ	DET	AUX	4635
PROPN	NUM	ADV	2784
VERB	PRON	PART	1932
AUX	ADJ	X	57
CONJ	DET	ADP	8535
NOUN	ADJ	PRON	10030
ADJ	PART	ADV	800
ADV	ADV	VERB	7955
PART	PUNCT	NUM	230
ADJ	PRON	VERB	8445
X	X	PUNCT	535
AUX	PRON	VERB	4146
ADP	ADJ	ADP	26924
VERB	NUM	90635
PROPN	NOUN	NOUN	76284
NOUN	ADV	ADP	22095
NUM	ADV	ADJ	2119
ADP	PROPN	ADV	14148
VERB	PUNCT	ADJ	17582
ADP	ADJ	SCONJ	1195
PROPN	PUNCT	DET	59676
ADV	PUNCT	VERB	12441
ADP	PART	PRON	726
CONJ	CONJ	ADP	2393
ADV	VERB	ADJ	7057
VERB	PUNCT	693125
SCONJ	PRON	41917
ADJ	SCONJ	PRON	1082
DET	CONJ	ADV	6496
ADP	PART	PROPN	880
CONJ	PUNCT	PART	969
PRON	PROPN	AUX	2912
DET	ADV	ADJ	14457
DET	PART	PART	554
AUX	PROPN	PUNCT	12016
PUNCT	PRON	DET	14955
ADJ	NUM	PART	213
DET	AUX	ADJ	4168
NUM	X	DET	88
DET	NOUN	AUX	21438
PRON	ADV	NOUN	15090
SCONJ	NUM	X	23
CONJ	PRON	ADP	3332
DET	PROPN	PROPN	136273
ADP	X	X	289
CONJ	PUNCT	PUNCT	17829
ADP	PRON	PROPN	13766
ADP	AUX	DET	5575
SCONJ	NOUN	SCONJ	301
ADJ	PUNCT	SCONJ	2018
ADV	ADP	NUM	3904
PROPN	ADP	VERB	28993
CONJ	X	CONJ	30
DET	DET	PRON	13623
SCONJ	SCONJ	CONJ	42
NOUN	NOUN	VERB	76018
DET	X	ADJ	248
CONJ	VERB	PART	675
SCONJ	NOUN	DET	5496
PROPN	PUNCT	NOUN	85082
PART	X	PUNCT	44
PROPN	PART	AUX	485
PRON	DET	PROPN	24109
X	VERB	CONJ	52
PART	PART	AUX	52
X	PART	PROPN	3
AUX	ADV	PART	587
AUX	NOUN	NOUN	16070
ADP	DET	PROPN	77105
SCONJ	ADP	NUM	542
NOUN	DET	PART	6520
SCONJ	PRON	ADP	2496
CONJ	SCONJ	VERB	524
ADV	CONJ	ADP	4905
PRON	PART	CONJ	624
VERB	SCONJ	39036
PROPN	PRON	ADJ	8941
PART	ADP	PROPN	1026
PART	ADJ	PRON	336
NOUN	ADV	CONJ	7159
ADV	PROPN	ADP	11869
NOUN	NUM	VERB	8944
PRON	AUX	NUM	393
NUM	NUM	NOUN	8162
CONJ	ADJ	X	66
PART	PUNCT	PART	312
ADV	ADJ	CONJ	4767
X	CONJ	VERB	60
VERB	PUNCT	PUNCT	54982
PROPN	DET	NUM	9874
ADP	NOUN	PRON	21206
ADP	AUX	PUNCT	11496
PROPN	SCONJ	PROPN	2140
SCONJ	PRON	ADJ	1776
VERB	NOUN	CONJ	16525
DET	NUM	NUM	5477
AUX	PROPN	X	57
NUM	X	CONJ	52
DET	PART	PROPN	1045
X	ADJ	ADJ	148
DET	SCONJ	SCONJ	115
NUM	VERB	CONJ	1726
ADJ	CONJ	PART	940
NUM	SCONJ	ADJ	299
PRON	PART	X	11
VERB	VERB	PUNCT	20506
PROPN	NUM	PART	482
X	NUM	DET	90
ADJ	CONJ	ADP	8260
CONJ	PROPN	CONJ	3158
AUX	ADV	NOUN	5801
ADV	PART	30883
ADV	ADP	DET	21857
ADJ	NOUN	PROPN	42273
SCONJ	NOUN	VERB	6573
VERB	ADP	VERB	17164
PROPN	SCONJ	NOUN	3478
ADJ	ADV	ADP	8632
DET	VERB	PUNCT	58390
ADP	ADP	AUX	7184
DET	ADV	VERB	14614
VERB	X	ADP	226
AUX	ADP	PART	878
AUX	PART	AUX	215
ADP	PROPN	PART	3252
VERB	SCONJ	X	44
PRON	PUNCT	387603
CONJ	DET	ADV	3083
VERB	PRON	DET	15576
SCONJ	CONJ	NUM	83
NUM	X	PROPN	172
AUX	X	DET	59
PRON	ADP	PROPN	25045
ADP	VERB	PROPN	18528
VERB	DET	PART	3117
SCONJ	X	PART	4
AUX	ADP	PRON	2274
CONJ	DET	PUNCT	18008
NUM	CONJ	PROPN	4165
DET	ADP	NUM	14116
PUNCT	ADP	CONJ	10977
PUNCT	DET	PART	3938
DET	X	ADV	171
ADV	ADJ	X	146
DET	DET	PROPN	66573
ADJ	ADP	CONJ	8498
ADV	AUX	PRON	1514
PUNCT	NUM	PART	365
NUM	PROPN	PUNCT	29159
DET	ADP	ADJ	37910
PROPN	AUX	115400
PART	SCONJ	X	1
PUNCT	PART	VERB	3538
CONJ	ADV	SCONJ	248
NOUN	DET	X	852
ADJ	NOUN	PUNCT	96926
DET	NUM	VERB	7695
X	NOUN	VERB	355
CONJ	AUX	PROPN	581
PUNCT	PUNCT	ADJ	26528
SCONJ	DET	X	83
PROPN	PROPN	NOUN	96885
ADV	NOUN	NUM	4181
ADJ	CONJ	PRON	2684
PART	PART	SCONJ	12
CONJ	PROPN	219596
NUM	PRON	ADP	3963
PRON	CONJ	AUX	1256
ADJ	SCONJ	26358
NOUN	VERB	NUM	7056
NUM	PROPN	PART	619
NUM	X	NOUN	211
AUX	PRON	ADJ	2225
X	SCONJ	ADP	33
VERB	X	ADJ	140
ADV	X	NUM	105
ADV	ADV	DET	7826
CONJ	PUNCT	AUX	1418
DET	ADV	X	243
ADP	PRON	NUM	3283
SCONJ	ADJ	X	24
ADV	X	ADV	65
SCONJ	ADP	PART	392
DET	DET	AUX	9662
CONJ	CONJ	DET	2628
