PROPN	NOUN	CONJ	1394
INTJ	NOUN	PUNCT	191
CONJ	INTJ	NOUN	42
ADJ	ADJ	NOUN	7182
ADJ	X	PUNCT	22
ADV	AUX	2619
NOUN	PROPN	ADP	1062
NUM	CONJ	NUM	198
VERB	INTJ	CONJ	24
CONJ	ADJ	ADP	448
NOUN	AUX	VERB	998
VERB	INTJ	NUM	2
DET	INTJ	VERB	9
ADV	ADJ	PRON	285
CONJ	VERB	PROPN	290
DET	PRON	VERB	410
VERB	AUX	PUNCT	1091
X	NUM	ADJ	2
X	CONJ	NUM	4
ADP	PROPN	DET	30
PROPN	ADP	VERB	1177
NUM	NUM	PUNCT	1151
NUM	ADV	ADJ	227
AUX	NUM	CONJ	13
CONJ	PRON	PROPN	39
ADV	AUX	PUNCT	428
ADP	PUNCT	VERB	2136
ADP	ADP	CONJ	161
NUM	VERB	ADP	518
AUX	VERB	ADJ	149
VERB	PROPN	INTJ	11
PRON	ADV	NUM	126
PUNCT	INTJ	ADV	8
PROPN	INTJ	213
ADP	NUM	PRON	68
NUM	PUNCT	ADP	352
VERB	NUM	ADP	445
ADP	VERB	VERB	3460
NOUN	DET	INTJ	8
AUX	PUNCT	10004
NOUN	ADP	NUM	1215
DET	PRON	ADJ	177
ADJ	NOUN	CONJ	2547
X	CONJ	PUNCT	6
DET	NUM	NOUN	564
ADV	PRON	NUM	90
INTJ	ADV	148
PUNCT	AUX	ADJ	170
X	X	62
NUM	VERB	CONJ	426
ADP	AUX	ADV	21
PROPN	NOUN	X	35
PUNCT	NOUN	PRON	1403
PROPN	DET	ADV	35
CONJ	DET	AUX	27
DET	AUX	AUX	7
PROPN	DET	ADJ	133
VERB	NUM	INTJ	7
INTJ	PUNCT	VERB	121
ADJ	PUNCT	AUX	319
ADJ	NOUN	ADJ	7251
NUM	ADP	PRON	84
CONJ	ADJ	CONJ	489
AUX	ADV	PRON	48
CONJ	PROPN	NOUN	991
PROPN	DET	2286
PRON	AUX	ADJ	79
X	NUM	NUM	2
INTJ	ADP	ADJ	15
ADP	ADV	5728
INTJ	CONJ	VERB	37
DET	DET	PRON	14
DET	PROPN	INTJ	3
PUNCT	PROPN	INTJ	12
ADP	ADJ	NUM	373
CONJ	PRON	6345
PROPN	AUX	ADJ	51
PRON	NOUN	ADV	544
X	ADJ	PROPN	1
VERB	ADV	PUNCT	2284
NUM	PRON	PROPN	18
AUX	ADJ	AUX	72
PUNCT	ADV	ADJ	796
CONJ	VERB	AUX	249
