SCONJ	NUM	PUNCT	4042
ADJ	NUM	PROPN	8206
NOUN	NOUN	PROPN	204197
SYM	CONJ	DET	846
NUM	X	NOUN	2003
PRON	PROPN	CONJ	8432
VERB	NOUN	PART	87
AUX	PUNCT	DET	14033
VERB	ADP	ADP	263282
NOUN	CONJ	DET	89732
CONJ	PRON	ADP	16643
ADJ	NUM	PRON	1961
NUM	ADJ	SCONJ	1577
X	CONJ	DET	1756
VERB	DET	NOUN	305794
PRON	X	X	702
ADJ	PUNCT	PROPN	46185
PROPN	CONJ	685986
PROPN	ADJ	PRON	9044
SYM	AUX	PROPN	48
SYM	DET	ADV	1923
VERB	SYM	CONJ	2495
SCONJ	ADP	PUNCT	44697
ADP	ADV	AUX	6015
VERB	NOUN	ADV	46135
CONJ	PRON	NOUN	17581
AUX	NUM	PART	1
VERB	SCONJ	450220
VERB	ADJ	PRON	16828
CONJ	ADV	200034
PART	ADJ	NOUN	48
NOUN	PROPN	PRON	30559
ADJ	X	PRON	601
PRON	NUM	NUM	2391
CONJ	SYM	ADP	520
ADJ	ADP	ADV	21371
PROPN	ADV	X	774
PART	PUNCT	VERB	93
PUNCT	NUM	SCONJ	2193
X	DET	NUM	1136
VERB	SCONJ	NUM	3106
NUM	PART	ADV	4
VERB	VERB	ADV	24213
SYM	ADV	SYM	41
CONJ	CONJ	PUNCT	12623
NOUN	SYM	PROPN	1954
ADJ	SCONJ	ADJ	9053
VERB	NUM	NUM	12221
ADV	PROPN	PUNCT	32866
CONJ	ADV	X	408
PRON	SYM	PRON	68
ADP	PROPN	DET	188332
PROPN	SYM	DET	3157
AUX	VERB	PART	15
VERB	CONJ	DET	45275
X	ADV	ADV	310
ADV	PART	DET	19
PUNCT	PART	ADJ	36
NOUN	SCONJ	PART	7
DET	PRON	848068
PART	NUM	ADP	12
AUX	NOUN	453273
PART	ADP	VERB	60
NUM	NOUN	VERB	24276
ADV	NOUN	PROPN	33157
PROPN	NOUN	ADJ	79099
PUNCT	PROPN	1876712
PRON	NUM	ADV	1256
PUNCT	NUM	PART	7
SYM	VERB	85602
NOUN	X	CONJ	3110
ADV	SYM	CONJ	85
ADP	ADV	PART	19
ADJ	VERB	ADJ	31569
DET	CONJ	1019192
NOUN	PRON	ADJ	32615
PUNCT	PROPN	VERB	46664
NOUN	ADJ	VERB	80240
SCONJ	PART	ADP	8
ADJ	PART	757
ADJ	PRON	ADV	5535
