CONJ	INTJ	CONJ	6
ADJ	CONJ	NUM	1467
ADJ	SYM	ADJ	111
SCONJ	CONJ	ADV	1316
SCONJ	SCONJ	ADP	126
ADV	PRON	ADV	6389
ADV	PROPN	PUNCT	8080
NUM	NUM	SYM	183
VERB	PUNCT	NUM	11846
SCONJ	CONJ	INTJ	5
PUNCT	SCONJ	SCONJ	1576
PRON	PRON	INTJ	31
SCONJ	VERB	X	27
VERB	SYM	NUM	198
PROPN	PROPN	ADJ	5395
PRON	ADV	X	27
SCONJ	ADP	CONJ	197
SYM	SYM	SYM	1378
PUNCT	PUNCT	INTJ	12
VERB	AUX	ADV	3827
PROPN	NOUN	ADJ	13314
NUM	INTJ	ADV	2
PROPN	SYM	SCONJ	12
VERB	SCONJ	SYM	101
ADP	ADV	21440
SYM	ADV	SCONJ	2
VERB	X	PRON	77
PROPN	NUM	PUNCT	10821
NUM	NUM	VERB	9846
VERB	X	3711
ADJ	PRON	VERB	13822
ADV	ADV	ADJ	6032
PROPN	VERB	NOUN	34164
SCONJ	SYM	ADV	7
NOUN	PUNCT	AUX	14206
X	VERB	2416
NUM	NOUN	ADP	4157
SYM	PROPN	NOUN	385
PROPN	CONJ	ADV	2155
NUM	PRON	ADV	2252
SYM	SYM	AUX	25
SCONJ	SCONJ	ADV	703
NOUN	ADJ	NUM	13509
VERB	NOUN	ADV	46052
AUX	CONJ	NOUN	5966
PRON	SYM	SYM	149
ADV	NOUN	INTJ	32
AUX	SYM	SCONJ	3
SYM	SYM	ADJ	375
CONJ	INTJ	ADP	1
PRON	INTJ	423
ADJ	PRON	AUX	2071
ADP	AUX	NOUN	1102
PROPN	ADV	PROPN	3083
INTJ	PRON	AUX	14
SCONJ	PRON	PROPN	655
PRON	INTJ	AUX	3
INTJ	VERB	NOUN	221
VERB	ADV	PUNCT	39301
SYM	ADJ	X	6
ADP	CONJ	20349
AUX	SCONJ	ADJ	731
PRON	INTJ	NOUN	16
PRON	NOUN	INTJ	25
VERB	ADJ	SYM	316
ADV	INTJ	INTJ	6
SCONJ	PUNCT	CONJ	2341
AUX	NOUN	NOUN	31799
NUM	NOUN	PRON	19253
AUX	AUX	PRON	570
ADV	VERB	AUX	3242
AUX	PROPN	VERB	882
CONJ	PRON	VERB	9150
AUX	ADP	ADP	69
NOUN	AUX	NOUN	31443
ADV	PROPN	ADP	502
INTJ	PUNCT	PUNCT	177
X	ADJ	NOUN	297
PROPN	PUNCT	INTJ	3
ADV	SCONJ	INTJ	3
SYM	PUNCT	CONJ	234
ADV	VERB	SYM	291
INTJ	PUNCT	ADJ	48
PRON	NOUN	ADJ	25407
NOUN	PRON	PRON	23084
X	CONJ	X	38
SYM	SCONJ	PRON	7
ADV	PRON	ADJ	5971
ADP	SCONJ	ADP	49
CONJ	ADP	SCONJ	101
NOUN	NUM	NUM	41431
PUNCT	ADP	ADV	1095
NUM	PUNCT	X	82
SCONJ	ADP	NOUN	1089
ADV	SYM	PROPN	67
PRON	AUX	ADP	447
ADV	NOUN	SYM	467
ADP	X	308
INTJ	PUNCT	PROPN	16
PROPN	SYM	PROPN	187
CONJ	ADV	SCONJ	967
PUNCT	CONJ	AUX	2543
PRON	ADP	VERB	2503
CONJ	SCONJ	VERB	3228
ADV	PROPN	ADJ	1565
PROPN	CONJ	SYM	61
PROPN	ADJ	NUM	1912
PUNCT	ADJ	PROPN	3878
PUNCT	PROPN	ADP	895
NOUN	SCONJ	ADV	6880
NUM	CONJ	SYM	51
AUX	NOUN	203114
PRON	ADP	PROPN	464
INTJ	ADJ	ADP	4
CONJ	NOUN	ADP	3762
SYM	NOUN	SYM	415
NOUN	SYM	ADJ	421
AUX	X	VERB	21
PROPN	NUM	NOUN	12417
PUNCT	ADV	NOUN	37476
ADV	ADP	SCONJ	195
CONJ	CONJ	CONJ	2330
ADJ	INTJ	AUX	1
SCONJ	ADJ	INTJ	7
ADJ	X	NUM	33
INTJ	PRON	1174
NOUN	ADP	CONJ	3448
PRON	ADV	CONJ	4231
INTJ	VERB	INTJ	1
PROPN	ADV	SCONJ	586
CONJ	SCONJ	CONJ	861
AUX	SYM	NOUN	111
AUX	SCONJ	SYM	3
PUNCT	NOUN	VERB	92884
VERB	PRON	SYM	221
PROPN	SCONJ	AUX	250
ADP	SYM	SCONJ	1
PROPN	ADV	VERB	4790
ADV	SYM	X	2
NOUN	AUX	NUM	2331
SCONJ	PUNCT	107515
ADV	ADV	INTJ	22
ADP	ADJ	SCONJ	196
NOUN	SCONJ	NUM	4854
ADV	ADP	NUM	133
NOUN	ADV	PUNCT	54227
AUX	ADP	VERB	571
SCONJ	NOUN	NUM	3513
CONJ	NUM	ADJ	2335
SYM	PUNCT	PUNCT	914
ADJ	CONJ	155200
VERB	AUX	CONJ	2617
ADJ	ADV	NOUN	21077
INTJ	VERB	SCONJ	33
VERB	INTJ	INTJ	11
NOUN	NOUN	SCONJ	28455
ADJ	PRON	PUNCT	12447
AUX	ADJ	CONJ	1809
SCONJ	NOUN	ADP	1922
PUNCT	VERB	NUM	11378
NOUN	PUNCT	PROPN	22612
PUNCT	NOUN	SYM	679
SCONJ	VERB	INTJ	29
PUNCT	ADV	AUX	2637
SCONJ	X	ADV	1
SYM	ADP	ADV	5
INTJ	NOUN	NUM	19
PUNCT	PRON	SCONJ	3069
ADP	ADJ	SYM	20
CONJ	ADJ	148004
CONJ	PRON	CONJ	2721
ADV	PROPN	PRON	1492
CONJ	INTJ	PROPN	3
SCONJ	SCONJ	CONJ	511
CONJ	PUNCT	ADJ	6712
ADP	NUM	SCONJ	29
ADP	CONJ	PRON	675
NUM	PRON	NUM	2604
INTJ	ADP	PUNCT	10
NUM	PROPN	PRON	759
X	ADP	AUX	2
ADV	INTJ	NOUN	40
CONJ	ADJ	VERB	7986
CONJ	NOUN	SCONJ	4075
ADV	SYM	3390
NOUN	SYM	CONJ	361
SYM	ADV	PROPN	25
ADV	VERB	ADV	14748
PUNCT	PROPN	AUX	620
NOUN	PROPN	ADP	2257
CONJ	NUM	CONJ	1477
PRON	ADV	NOUN	21439
ADJ	INTJ	INTJ	3
ADJ	PUNCT	PROPN	5773
PUNCT	CONJ	NUM	4295
X	PROPN	ADV	59
INTJ	INTJ	181
SCONJ	ADJ	ADJ	2780
CONJ	ADV	INTJ	13
NOUN	ADJ	PROPN	11511
ADV	ADJ	SYM	171
ADV	SCONJ	ADJ	2298
NUM	ADP	ADJ	712
NUM	SYM	SCONJ	12
ADV	INTJ	ADJ	11
AUX	PRON	PRON	1675
VERB	ADV	X	120
X	CONJ	PRON	36
VERB	NOUN	VERB	120117
NOUN	CONJ	INTJ	20
AUX	PUNCT	VERB	5606
CONJ	ADJ	SCONJ	1071
PUNCT	CONJ	PUNCT	20254
ADP	ADJ	PRON	726
AUX	CONJ	PRON	1354
NOUN	ADJ	SYM	452
ADP	ADV	CONJ	456
PROPN	AUX	NOUN	3116
CONJ	PRON	ADP	848
PRON	PUNCT	SYM	215
ADJ	ADV	PROPN	2915
PUNCT	AUX	92138
CONJ	SYM	SCONJ	5
ADP	SCONJ	ADV	298
PUNCT	PRON	INTJ	9
ADV	X	SYM	2
AUX	AUX	X	2
CONJ	VERB	256305
ADJ	SYM	PRON	66
