NUM	ADP	NUM	2966
AUX	VERB	PROPN	797
VERB	PUNCT	ADV	20868
X	NUM	ADP	301
PROPN	NUM	PRON	551
PART	PUNCT	NOUN	61583
ADP	ADV	ADJ	1867
NOUN	NUM	AUX	1153
AUX	ADJ	VERB	654
PUNCT	NOUN	PRON	4974
NOUN	X	PART	5702
AUX	ADV	13547
NUM	PART	X	1196
DET	X	NUM	76
SYM	PRON	ADV	4
AUX	ADP	SYM	1
X	ADV	ADJ	308
PART	PRON	48170
VERB	PROPN	419437
PUNCT	PUNCT	X	3749
AUX	PROPN	ADV	241
ADJ	NOUN	DET	1172
PROPN	NOUN	PUNCT	86467
VERB	CONJ	CONJ	1046
SYM	SYM	NOUN	24
VERB	ADP	DET	1457
NOUN	NUM	ADP	7485
AUX	PART	PROPN	297
PROPN	NUM	PUNCT	14731
SYM	VERB	ADV	11
NUM	ADJ	NUM	876
PRON	PRON	PRON	249
PROPN	PUNCT	PART	28370
AUX	PRON	NUM	59
PART	SYM	NUM	25
ADV	ADP	74041
CONJ	PUNCT	PRON	343
ADP	AUX	PRON	188
ADV	NUM	ADV	1612
NUM	ADP	75661
NUM	ADP	NOUN	13286
AUX	DET	VERB	365
NOUN	ADJ	PUNCT	23269
AUX	NUM	PUNCT	662
ADV	PRON	ADP	584
AUX	PART	AUX	218
ADV	CONJ	X	130
NUM	AUX	PUNCT	826
X	NUM	NOUN	3187
PRON	ADJ	PROPN	209
VERB	NUM	X	1193
CONJ	PART	VERB	3719
ADJ	ADV	ADV	1264
AUX	ADV	VERB	1519
NUM	PART	ADJ	2430
X	PROPN	DET	81
ADP	ADP	NOUN	13333
NOUN	NOUN	PART	150635
VERB	ADJ	ADV	4105
VERB	PRON	PUNCT	7249
X	AUX	CONJ	23
NUM	PUNCT	AUX	803
PART	VERB	CONJ	4869
PROPN	ADP	DET	640
PROPN	PUNCT	ADJ	4374
NOUN	PART	AUX	4155
X	PRON	PART	287
PUNCT	PUNCT	654076
DET	NUM	PART	1097
NOUN	AUX	74894
ADP	CONJ	ADP	544
CONJ	PART	DET	208
PRON	NOUN	CONJ	1110
DET	PART	ADJ	628
DET	CONJ	PROPN	151
X	PART	DET	187
PART	AUX	28167
ADJ	CONJ	PART	829
SYM	DET	NOUN	19
DET	ADJ	11367
ADV	PART	ADJ	2498
DET	X	X	119
PROPN	NUM	CONJ	1075
PUNCT	VERB	AUX	2506
PUNCT	PRON	ADV	1943
PROPN	PRON	PART	2528
SYM	VERB	NUM	16
CONJ	AUX	X	10
VERB	AUX	SYM	4
PART	PUNCT	PUNCT	41639
PROPN	ADP	PART	7481
ADJ	AUX	PUNCT	675
AUX	PUNCT	VERB	2526
SYM	PART	PART	16
ADJ	NOUN	232118
NUM	ADJ	DET	226
PRON	AUX	NOUN	799
ADP	PART	X	1179
AUX	PROPN	X	19
X	VERB	AUX	320
ADV	NOUN	PART	21190
PART	NUM	ADP	2574
ADP	PRON	DET	190
ADV	AUX	VERB	2237
ADV	NUM	ADP	1098
PRON	PART	NOUN	7794
PART	PROPN	PROPN	18434
VERB	X	VERB	3808
NOUN	PRON	PUNCT	8726
VERB	ADJ	155499
PUNCT	ADP	162622
ADJ	PART	PRON	715
PRON	ADP	CONJ	187
X	ADP	NOUN	2320
VERB	NOUN	SYM	121
DET	AUX	VERB	538
NUM	VERB	NUM	9884
NUM	DET	VERB	1445
ADJ	NOUN	NOUN	29678
ADV	SYM	VERB	19
DET	PART	PRON	299
X	NOUN	NUM	2368
SYM	NUM	PUNCT	50
ADJ	NUM	SYM	3
VERB	PART	AUX	2636
NOUN	PROPN	NUM	13968
PUNCT	NUM	NUM	6568
SYM	ADP	PROPN	3
ADJ	SYM	ADJ	2
ADP	PART	VERB	17718
PART	VERB	NUM	12112
VERB	CONJ	X	401
AUX	AUX	3788
AUX	NOUN	PROPN	697
PART	ADV	ADV	5427
PRON	PRON	NUM	178
DET	PRON	CONJ	48
AUX	AUX	ADV	80
DET	PUNCT	VERB	3763
AUX	CONJ	DET	48
PRON	NUM	SYM	1
ADP	NOUN	PUNCT	50359
ADP	PRON	NUM	518
PUNCT	VERB	ADJ	8612
VERB	AUX	CONJ	396
X	CONJ	NUM	160
ADP	PUNCT	DET	1323
CONJ	ADJ	VERB	916
ADV	PROPN	PROPN	5980
NOUN	NUM	ADV	9298
ADJ	ADJ	ADJ	924
ADV	DET	18968
ADJ	PART	VERB	7688
X	ADJ	PRON	54
PROPN	NOUN	ADJ	9749
CONJ	PROPN	ADP	437
PART	SYM	CONJ	1
VERB	VERB	NOUN	127543
ADJ	ADV	NOUN	5624
VERB	PUNCT	VERB	62495
PART	X	DET	205
ADP	SYM	NUM	16
VERB	NOUN	PRON	8239
ADP	PUNCT	X	1602
PUNCT	ADV	229522
SYM	ADV	VERB	23
CONJ	DET	5842
ADP	NOUN	SYM	35
PUNCT	ADP	NOUN	23303
NUM	NOUN	ADJ	7511
VERB	SYM	ADP	13
PART	AUX	ADP	507
PROPN	DET	CONJ	167
SYM	SYM	SYM	11
CONJ	ADJ	PROPN	196
PART	PRON	X	266
CONJ	NUM	CONJ	190
DET	NOUN	PRON	769
PRON	NOUN	PUNCT	11602
PUNCT	ADV	ADP	3784
NUM	NUM	148065
NUM	CONJ	ADP	350
PUNCT	VERB	CONJ	5112
ADP	X	18331
ADV	ADJ	DET	260
VERB	VERB	VERB	80097
PART	DET	NOUN	5538
VERB	NOUN	PART	83455
VERB	SYM	PROPN	49
PROPN	SYM	PUNCT	95
SYM	PART	NUM	10
PRON	ADJ	NUM	186
PUNCT	SYM	NOUN	137
VERB	AUX	PUNCT	3635
VERB	PRON	PROPN	1824
PUNCT	PRON	PRON	878
AUX	PROPN	PUNCT	633
VERB	PART	ADJ	8897
DET	VERB	PUNCT	6300
SYM	PROPN	SYM	23
PROPN	NUM	DET	526
PUNCT	NOUN	AUX	3792
VERB	ADP	PUNCT	19712
ADP	ADP	PART	5176
ADJ	ADJ	NOUN	4183
AUX	NUM	VERB	592
PROPN	PROPN	PROPN	38756
NUM	NUM	VERB	13579
CONJ	PART	ADJ	827
ADP	PROPN	NUM	3038
ADP	PART	ADV	5858
ADV	ADV	PUNCT	7705
CONJ	ADJ	PRON	86
DET	DET	PUNCT	376
AUX	DET	PUNCT	319
X	ADJ	X	158
VERB	ADV	NOUN	33591
NUM	ADV	ADJ	1152
ADP	NOUN	NUM	10931
AUX	ADP	VERB	1219
CONJ	DET	CONJ	71
PROPN	PUNCT	NUM	11055
AUX	X	VERB	141
X	PUNCT	SYM	15
VERB	ADJ	PART	9642
PUNCT	AUX	PRON	353
PUNCT	ADJ	SYM	2
VERB	ADV	281881
PART	PART	PRON	2401
ADJ	PROPN	DET	176
VERB	VERB	AUX	3711
CONJ	ADV	PART	1059
ADP	PRON	ADV	1088
ADP	PUNCT	VERB	21632
